"Registered" "Date" "Year" "Month" "Day" "Hour" "Holiday" "WorkDay" "Weather" "Temp" "TempFeel" "Humidity" "Windspeed" "Casual"
"15748" 733 "2012-10-23" "2012" 10 2 8 0 1 2 0.46 0.4545 0.72 0.0896 28
"1953" 14 "2011-03-27" "2011" 3 0 3 0 0 3 0.2 0.197 0.69 0.2239 0
"16176" 342 "2012-11-11" "2012" 11 0 17 0 0 1 0.54 0.5152 0.45 0.1642 151
"16767" 257 "2012-12-06" "2012" 12 4 9 0 1 1 0.24 0.2273 0.48 0.194 19
"12174" 215 "2012-05-27" "2012" 5 0 10 0 0 1 0.68 0.6364 0.74 0.2537 209
"15745" 49 "2012-10-23" "2012" 10 2 5 0 1 1 0.44 0.4394 0.77 0.0896 1
"683" 153 "2011-01-31" "2011" 1 1 18 0 1 2 0.16 0.1515 0.55 0.2239 3
"10535" 9 "2012-03-20" "2012" 3 2 1 0 1 1 0.54 0.5152 0.88 0 6
"310" 117 "2011-01-14" "2011" 1 5 9 0 1 1 0.14 0.1515 0.69 0.1343 0
"4337" 173 "2011-07-04" "2011" 7 1 14 1 0 1 0.8 0.7273 0.46 0 235
"7913" 462 "2011-12-01" "2011" 12 4 8 0 1 1 0.26 0.2273 0.6 0.3284 15
"14955" 514 "2012-09-20" "2012" 9 4 7 0 1 1 0.46 0.4545 0.82 0.1045 20
"2275" 116 "2011-04-09" "2011" 4 6 15 0 0 2 0.36 0.3788 0.87 0 85
"10331" 288 "2012-03-11" "2012" 3 0 13 0 0 1 0.42 0.4242 0.41 0.2985 176
"2211" 29 "2011-04-06" "2011" 4 3 23 0 1 1 0.46 0.4545 0.41 0.2985 11
"13405" 675 "2012-07-17" "2012" 7 2 17 0 1 1 0.92 0.8182 0.29 0 95
"17337" 2 "2012-12-30" "2012" 12 0 5 0 0 2 0.26 0.2273 0.48 0.2985 0
"15582" 157 "2012-10-16" "2012" 10 2 10 0 1 1 0.5 0.4848 0.48 0.2836 65
"890" 67 "2011-02-09" "2011" 2 3 13 0 1 1 0.18 0.1667 0.4 0.2537 2
"6995" 8 "2011-10-24" "2011" 10 1 1 0 1 1 0.4 0.4091 0.82 0.1343 7
"11351" 1 "2012-04-23" "2012" 4 1 3 0 1 2 0.32 0.303 0.81 0.2836 0
"7889" 465 "2011-11-30" "2011" 11 3 8 0 1 1 0.28 0.2727 0.81 0.194 13
"1092" 6 "2011-02-18" "2011" 2 5 5 0 1 2 0.46 0.4545 0.67 0.1045 1
"16674" 409 "2012-12-02" "2012" 12 0 12 0 0 2 0.34 0.3333 0.81 0.1642 111
"8972" 178 "2012-01-14" "2012" 1 6 16 0 0 1 0.24 0.2273 0.38 0.2239 28
"12800" 191 "2012-06-22" "2012" 6 5 12 0 1 1 0.84 0.7879 0.49 0.1343 63
"16429" 15 "2012-11-22" "2012" 11 4 6 1 0 1 0.26 0.2727 0.7 0.1045 2
"4899" 31 "2011-07-28" "2011" 7 4 0 0 1 1 0.7 0.6515 0.51 0.1343 14
"11244" 199 "2012-04-18" "2012" 4 3 16 0 1 2 0.42 0.4242 0.77 0.2239 36
"13461" 9 "2012-07-20" "2012" 7 5 1 0 1 1 0.66 0.5909 0.89 0.1343 2
"13705" 43 "2012-07-30" "2012" 7 1 5 0 1 1 0.66 0.6061 0.83 0.1045 4
"2023" 4 "2011-03-30" "2011" 3 3 3 0 1 2 0.32 0.3485 0.49 0 0
"2033" 84 "2011-03-30" "2011" 3 3 13 0 1 2 0.36 0.3485 0.46 0.2239 14
"5429" 8 "2011-08-19" "2011" 8 5 2 0 1 3 0.64 0.5758 0.83 0 0
"5705" 4 "2011-08-31" "2011" 8 3 3 0 1 1 0.56 0.5303 0.78 0 2
"12152" 293 "2012-05-26" "2012" 5 6 12 0 0 1 0.74 0.697 0.66 0.2239 236
"16697" 182 "2012-12-03" "2012" 12 1 11 0 1 1 0.48 0.4697 0.77 0.1343 51
"1098" 82 "2011-02-18" "2011" 2 5 11 0 1 1 0.44 0.4394 0.72 0.1642 31
"2283" 45 "2011-04-09" "2011" 4 6 23 0 0 2 0.38 0.3939 0.87 0.0896 12
"13929" 212 "2012-08-08" "2012" 8 3 13 0 1 2 0.8 0.7424 0.52 0 101
"143" 5 "2011-01-07" "2011" 1 5 5 0 1 3 0.22 0.2727 0.55 0 0
"12034" 135 "2012-05-21" "2012" 5 1 14 0 1 3 0.6 0.5606 0.83 0.194 45
"10953" 224 "2012-04-06" "2012" 4 5 12 0 1 1 0.42 0.4242 0.35 0.2985 113
"5153" 192 "2011-08-07" "2011" 8 0 14 0 0 1 0.86 0.803 0.47 0.194 130
"14334" 294 "2012-08-25" "2012" 8 6 10 0 0 2 0.7 0.6515 0.65 0.2985 148
"13447" 162 "2012-07-19" "2012" 7 4 11 0 1 1 0.8 0.7576 0.55 0.1045 54
"7005" 109 "2011-10-24" "2011" 10 1 11 0 1 2 0.5 0.4848 0.72 0.1642 59
"6017" 116 "2011-09-13" "2011" 9 2 6 0 1 1 0.56 0.5303 0.88 0.1045 6
"9198" 3 "2012-01-24" "2012" 1 2 3 0 1 2 0.32 0.3333 0.93 0.1343 0
"16757" 69 "2012-12-05" "2012" 12 3 23 0 1 1 0.3 0.2727 0.49 0.3881 5
"9997" 267 "2012-02-26" "2012" 2 0 13 0 0 1 0.32 0.3333 0.36 0 58
"9023" 134 "2012-01-16" "2012" 1 1 19 1 0 1 0.26 0.2424 0.56 0.2836 10
"10383" 614 "2012-03-13" "2012" 3 2 17 0 1 1 0.7 0.6364 0.37 0.1045 62
"16883" 40 "2012-12-11" "2012" 12 2 5 0 1 3 0.34 0.303 0.71 0.3284 1
"12180" 243 "2012-05-27" "2012" 5 0 16 0 0 1 0.78 0.7121 0.52 0.2836 258
"10513" 2 "2012-03-19" "2012" 3 1 3 0 1 1 0.46 0.4545 0.88 0.0896 0
"15388" 374 "2012-10-08" "2012" 10 1 8 1 0 2 0.36 0.3485 0.71 0.2239 23
"15358" 64 "2012-10-07" "2012" 10 0 2 0 0 1 0.42 0.4242 0.62 0.1343 10
"2173" 44 "2011-04-05" "2011" 4 2 9 0 1 3 0.36 0.3182 0.87 0.4925 2
"16269" 174 "2012-11-15" "2012" 11 4 14 0 1 2 0.38 0.3939 0.54 0.1642 27
"13079" 23 "2012-07-04" "2012" 7 3 3 1 0 1 0.68 0.6364 0.74 0.194 9
"3918" 5 "2011-06-17" "2011" 6 5 3 0 1 1 0.56 0.5303 0.94 0.1045 1
"7001" 274 "2011-10-24" "2011" 10 1 7 0 1 2 0.38 0.3939 0.94 0.1045 11
"15316" 749 "2012-10-05" "2012" 10 5 8 0 1 1 0.58 0.5455 0.64 0 36
"13770" 251 "2012-08-01" "2012" 8 3 22 0 1 1 0.72 0.6818 0.7 0.1045 37
"1986" 65 "2011-03-28" "2011" 3 1 14 0 1 1 0.32 0.303 0.22 0.2239 15
"4024" 158 "2011-06-21" "2011" 6 2 13 0 1 1 0.74 0.697 0.66 0.1642 49
"7319" 209 "2011-11-06" "2011" 11 0 13 0 0 1 0.46 0.4545 0.51 0.1642 105
"1000" 96 "2011-02-14" "2011" 2 1 7 0 1 1 0.34 0.303 0.46 0.2985 2
"12201" 284 "2012-05-28" "2012" 5 1 13 1 0 1 0.8 0.7879 0.63 0.2836 272
"5676" 119 "2011-08-29" "2011" 8 1 22 0 1 1 0.62 0.6212 0.57 0.1343 23
"16106" 359 "2012-11-08" "2012" 11 4 19 0 1 1 0.38 0.3939 0.27 0.3582 14
"5866" 109 "2011-09-06" "2011" 9 2 21 0 1 3 0.54 0.5152 0.88 0.2836 12
"13943" 5 "2012-08-09" "2012" 8 4 3 0 1 1 0.68 0.6364 0.83 0.0896 1
"11383" 157 "2012-04-24" "2012" 4 2 11 0 1 1 0.46 0.4545 0.31 0.3881 27
"9808" 244 "2012-02-18" "2012" 2 6 14 0 0 1 0.44 0.4394 0.35 0.3582 183
"2840" 14 "2011-05-03" "2011" 5 2 5 0 1 1 0.52 0.5 0.88 0.1343 0
"13299" 353 "2012-07-13" "2012" 7 5 7 0 1 2 0.7 0.6515 0.54 0 27
"12701" 222 "2012-06-18" "2012" 6 1 9 0 1 2 0.54 0.5152 0.83 0.2239 28
"16783" 26 "2012-12-07" "2012" 12 5 1 0 1 2 0.24 0.2273 0.7 0.194 2
"1434" 15 "2011-03-05" "2011" 3 6 0 0 0 2 0.28 0.2879 0.81 0.1045 4
"8341" 4 "2011-12-19" "2011" 12 1 4 0 1 1 0.16 0.1818 0.86 0.1343 0
"2599" 3 "2011-04-23" "2011" 4 6 4 0 0 3 0.34 0.3636 1 0 2
"836" 29 "2011-02-07" "2011" 2 1 6 0 1 1 0.18 0.2424 0.93 0 1
"11800" 277 "2012-05-11" "2012" 5 5 20 0 1 1 0.62 0.6061 0.25 0.1343 64
"10018" 88 "2012-02-27" "2012" 2 1 10 0 1 1 0.32 0.303 0.45 0.2537 16
"8076" 1 "2011-12-08" "2011" 12 4 3 0 1 1 0.26 0.2273 0.6 0.2985 0
"8407" 102 "2011-12-21" "2011" 12 3 22 0 1 1 0.5 0.4848 0.88 0.2537 3
"10002" 199 "2012-02-26" "2012" 2 0 18 0 0 1 0.34 0.3182 0.36 0.2836 17
"11117" 294 "2012-04-13" "2012" 4 5 9 0 1 1 0.42 0.4242 0.41 0.1642 36
"2904" 141 "2011-05-05" "2011" 5 4 21 0 1 1 0.5 0.4848 0.36 0.194 39
"7025" 299 "2011-10-25" "2011" 10 2 7 0 1 1 0.4 0.4091 0.76 0.194 15
"14388" 367 "2012-08-27" "2012" 8 1 16 0 1 1 0.8 0.7576 0.55 0.2537 77
"6614" 16 "2011-10-08" "2011" 10 6 3 0 0 1 0.44 0.4394 0.88 0 4
"15827" 306 "2012-10-26" "2012" 10 5 15 0 1 2 0.62 0.6061 0.61 0.1045 142
"13028" 31 "2012-07-02" "2012" 7 1 0 0 1 2 0.76 0.7121 0.58 0.2239 12
"10023" 150 "2012-02-27" "2012" 2 1 15 0 1 1 0.52 0.5 0.25 0.4179 24
"17247" 10 "2012-12-26" "2012" 12 3 11 0 1 3 0.2 0.1667 0.86 0.4627 0
"12626" 142 "2012-06-15" "2012" 6 5 6 0 1 1 0.54 0.5152 0.83 0.1343 9
"2216" 1 "2011-04-07" "2011" 4 4 4 0 1 1 0.34 0.3333 0.76 0.194 0
"6212" 187 "2011-09-21" "2011" 9 3 9 0 1 2 0.56 0.5303 1 0.0896 21
"7473" 78 "2011-11-12" "2011" 11 6 23 0 0 1 0.4 0.4091 0.58 0.1642 23
"4754" 73 "2011-07-21" "2011" 7 4 23 0 1 1 0.8 0.8182 0.71 0.1642 40
"1531" 2 "2011-03-09" "2011" 3 3 3 0 1 1 0.24 0.2576 0.7 0.0896 1
"875" 46 "2011-02-08" "2011" 2 2 21 0 1 1 0.14 0.1061 0.33 0.4627 8
"1263" 150 "2011-02-25" "2011" 2 5 18 0 1 1 0.32 0.2879 0.49 0.4925 7
"16440" 43 "2012-11-22" "2012" 11 4 17 1 0 1 0.44 0.4394 0.35 0 66
"16227" 211 "2012-11-13" "2012" 11 2 20 0 1 1 0.3 0.2727 0.49 0.3582 12
"16771" 212 "2012-12-06" "2012" 12 4 13 0 1 1 0.3 0.3333 0.39 0 33
"1705" 121 "2011-03-16" "2011" 3 3 16 0 1 2 0.4 0.4091 0.76 0.1642 30
"7636" 172 "2011-11-19" "2011" 11 6 18 0 0 1 0.38 0.3939 0.46 0.1343 36
"9533" 1 "2012-02-07" "2012" 2 2 3 0 1 2 0.3 0.3333 0.7 0 1
"16097" 148 "2012-11-08" "2012" 11 4 10 0 1 1 0.32 0.303 0.31 0.3284 13
"1792" 30 "2011-03-20" "2011" 3 0 8 0 0 1 0.28 0.2727 0.56 0.1642 7
"14996" 140 "2012-09-22" "2012" 9 6 0 0 0 1 0.6 0.5909 0.73 0.2836 32
"8419" 128 "2011-12-22" "2011" 12 4 10 0 1 2 0.4 0.4091 0.82 0.0896 13
"2474" 37 "2011-04-17" "2011" 4 0 23 0 0 1 0.44 0.4394 0.67 0.1642 19
"14379" 418 "2012-08-27" "2012" 8 1 7 0 1 1 0.66 0.6061 0.83 0 15
"5038" 369 "2011-08-02" "2011" 8 2 19 0 1 2 0.86 0.7576 0.36 0.2239 85
"916" 76 "2011-02-10" "2011" 2 4 16 0 1 1 0.2 0.1818 0.27 0.2985 4
"13458" 62 "2012-07-19" "2012" 7 4 22 0 1 3 0.66 0.5909 0.89 0.2537 6
"7355" 8 "2011-11-08" "2011" 11 2 1 0 1 1 0.32 0.3333 0.93 0.1045 3
"16256" 14 "2012-11-15" "2012" 11 4 1 0 1 2 0.26 0.2727 0.65 0.1045 2
"7038" 208 "2011-10-25" "2011" 10 2 20 0 1 1 0.46 0.4545 0.67 0.1045 40
"9831" 197 "2012-02-19" "2012" 2 0 13 0 0 1 0.3 0.303 0.49 0.1642 64
"6509" 384 "2011-10-03" "2011" 10 1 18 0 1 2 0.4 0.4091 0.76 0.1642 28
"3487" 4 "2011-05-30" "2011" 5 1 4 1 0 1 0.62 0.5455 0.94 0.1642 2
"8965" 78 "2012-01-14" "2012" 1 6 9 0 0 1 0.14 0.1667 0.5 0.1045 3
"2537" 115 "2011-04-20" "2011" 4 3 14 0 1 1 0.74 0.6515 0.4 0.4627 33
"17078" 665 "2012-12-19" "2012" 12 3 8 0 1 1 0.24 0.2576 0.87 0.1045 13
"5904" 85 "2011-09-08" "2011" 9 4 12 0 1 2 0.66 0.5909 0.94 0.2239 17
"2666" 53 "2011-04-25" "2011" 4 1 23 0 1 1 0.58 0.5455 0.78 0.2836 9
"14906" 163 "2012-09-18" "2012" 9 2 6 0 1 2 0.64 0.5758 0.89 0.3284 4
"16310" 70 "2012-11-17" "2012" 11 6 7 0 0 1 0.24 0.2273 0.7 0.194 8
"705" 172 "2011-02-01" "2011" 2 2 17 0 1 2 0.24 0.2879 0.75 0 4
"12600" 6 "2012-06-14" "2012" 6 4 4 0 1 2 0.6 0.6212 0.56 0.2537 0
"14249" 239 "2012-08-21" "2012" 8 2 21 0 1 1 0.64 0.6061 0.73 0 41
"16212" 18 "2012-11-13" "2012" 11 2 5 0 1 2 0.34 0.3182 0.87 0.2836 0
"7120" 1 "2011-10-29" "2011" 10 6 6 0 0 3 0.26 0.2273 0.87 0.3582 4
"10613" 318 "2012-03-23" "2012" 3 5 7 0 1 2 0.5 0.4848 0.93 0.1343 28
"16941" 240 "2012-12-13" "2012" 12 4 15 0 1 1 0.36 0.3485 0.34 0.1343 40
"6588" 25 "2011-10-07" "2011" 10 5 1 0 1 1 0.44 0.4394 0.88 0 3
"5633" 19 "2011-08-27" "2011" 8 6 14 0 0 3 0.64 0.5758 0.89 0.5522 4
"9349" 82 "2012-01-30" "2012" 1 1 10 0 1 1 0.22 0.2121 0.41 0.2836 3
"6789" 207 "2011-10-15" "2011" 10 6 10 0 0 1 0.54 0.5152 0.45 0.4478 115
"1806" 30 "2011-03-20" "2011" 3 0 22 0 0 2 0.34 0.303 0.53 0.3284 8
"16776" 542 "2012-12-06" "2012" 12 4 18 0 1 1 0.28 0.2727 0.45 0.1642 23
"7894" 131 "2011-11-30" "2011" 11 3 13 0 1 2 0.38 0.3939 0.43 0.3582 16
"16517" 59 "2012-11-25" "2012" 11 0 22 0 0 1 0.24 0.2879 0.6 0 3
"13270" 9 "2012-07-12" "2012" 7 4 2 0 1 2 0.66 0.6212 0.65 0.0896 0
"10095" 323 "2012-03-01" "2012" 3 4 16 0 1 1 0.58 0.5455 0.32 0.2985 38
"4302" 25 "2011-07-03" "2011" 7 0 3 0 0 3 0.68 0.6364 0.65 0.0896 8
"3756" 176 "2011-06-10" "2011" 6 5 9 0 1 1 0.76 0.697 0.55 0 37
"11906" 150 "2012-05-16" "2012" 5 3 6 0 1 1 0.54 0.5152 0.94 0.0896 8
"2978" 41 "2011-05-08" "2011" 5 0 23 0 0 1 0.46 0.4545 0.88 0.0896 9
"804" 43 "2011-02-05" "2011" 2 6 22 0 0 1 0.26 0.2727 0.93 0.1343 2
"1575" 8 "2011-03-11" "2011" 3 5 1 0 1 3 0.34 0.3485 1 0.1045 0
"1641" 49 "2011-03-13" "2011" 3 0 21 0 0 1 0.3 0.2879 0.56 0.2537 9
"3718" 323 "2011-06-08" "2011" 6 3 19 0 1 1 0.82 0.803 0.59 0.1343 61
"9292" 57 "2012-01-28" "2012" 1 6 1 0 0 1 0.3 0.303 0.52 0.1642 1
"8678" 53 "2012-01-02" "2012" 1 1 9 1 0 1 0.24 0.2576 0.35 0 15
"9325" 153 "2012-01-29" "2012" 1 0 10 0 0 1 0.24 0.2424 0.35 0.1343 38
"10593" 166 "2012-03-22" "2012" 3 4 11 0 1 2 0.52 0.5 0.94 0 53
"1262" 181 "2011-02-25" "2011" 2 5 17 0 1 1 0.32 0.2727 0.49 0.7463 8
"11570" 117 "2012-05-02" "2012" 5 3 6 0 1 3 0.56 0.5303 0.84 0 3
"6349" 4 "2011-09-27" "2011" 9 2 2 0 1 1 0.62 0.5455 0.94 0.1045 7
"3746" 82 "2011-06-09" "2011" 6 4 23 0 1 2 0.74 0.697 0.57 0.1642 15
"4799" 98 "2011-07-23" "2011" 7 6 20 0 0 1 0.82 0.803 0.59 0.2239 47
"6144" 214 "2011-09-18" "2011" 9 0 13 0 0 1 0.56 0.5303 0.6 0.1343 162
"3966" 16 "2011-06-19" "2011" 6 0 3 0 0 2 0.66 0.6061 0.78 0.1343 14
"16034" 523 "2012-11-05" "2012" 11 1 18 0 1 1 0.34 0.3182 0.46 0.2239 19
"62" 67 "2011-01-03" "2011" 1 1 16 0 1 1 0.26 0.2424 0.3 0.2537 9
"6569" 110 "2011-10-06" "2011" 10 4 6 0 1 1 0.4 0.4091 0.66 0.194 4
"15895" 36 "2012-10-30" "2012" 10 2 23 0 1 1 0.3 0.303 0.81 0.1343 3
"10464" 32 "2012-03-17" "2012" 3 6 2 0 0 2 0.44 0.4394 0.88 0 10
"11629" 547 "2012-05-04" "2012" 5 5 17 0 1 1 0.7 0.6515 0.54 0.4627 96
"3929" 142 "2011-06-17" "2011" 6 5 14 0 1 1 0.76 0.697 0.52 0.194 73
"13064" 198 "2012-07-03" "2012" 7 2 12 0 1 1 0.88 0.7576 0.28 0.194 74
"11236" 551 "2012-04-18" "2012" 4 3 8 0 1 3 0.5 0.4848 0.39 0.194 25
"1454" 58 "2011-03-05" "2011" 3 6 20 0 0 2 0.44 0.4394 0.77 0.3284 12
"12925" 730 "2012-06-27" "2012" 6 3 17 0 1 1 0.82 0.697 0.24 0.3881 113
"4139" 78 "2011-06-26" "2011" 6 0 8 0 0 1 0.64 0.6212 0.61 0.194 29
"12903" 529 "2012-06-26" "2012" 6 2 19 0 1 1 0.72 0.6515 0.28 0.2239 83
"14720" 256 "2012-09-10" "2012" 9 1 12 0 1 1 0.64 0.6212 0.44 0.3881 76
"6696" 138 "2011-10-11" "2011" 10 2 13 0 1 2 0.6 0.5909 0.73 0.194 42
"16691" 38 "2012-12-03" "2012" 12 1 5 0 1 1 0.34 0.3485 0.93 0.0896 0
"16791" 291 "2012-12-07" "2012" 12 5 9 0 1 2 0.3 0.303 0.81 0.1343 10
"6253" 14 "2011-09-23" "2011" 9 5 2 0 1 2 0.6 0.5 1 0.1045 6
"11734" 1 "2012-05-09" "2012" 5 3 2 0 1 3 0.56 0.5303 0.88 0.4478 0
"13304" 254 "2012-07-13" "2012" 7 5 12 0 1 2 0.76 0.6818 0.4 0.1045 125
"5808" 147 "2011-09-04" "2011" 9 0 10 0 0 1 0.7 0.6667 0.74 0.1343 150
"13723" 116 "2012-07-30" "2012" 7 1 23 0 1 1 0.7 0.6667 0.74 0.194 34
"3210" 133 "2011-05-18" "2011" 5 3 15 0 1 1 0.6 0.5758 0.78 0.2537 34
"2953" 94 "2011-05-07" "2011" 5 6 22 0 0 1 0.54 0.5152 0.49 0.194 26
"3620" 202 "2011-06-04" "2011" 6 6 17 0 0 2 0.72 0.6515 0.34 0.2537 142
"14209" 35 "2012-08-20" "2012" 8 1 5 0 1 2 0.6 0.5606 0.83 0 2
"16905" 7 "2012-12-12" "2012" 12 3 3 0 1 1 0.26 0.2727 0.6 0.1343 3
"5080" 142 "2011-08-04" "2011" 8 4 13 0 1 1 0.76 0.7121 0.58 0 63
"2280" 74 "2011-04-09" "2011" 4 6 20 0 0 2 0.38 0.3939 0.87 0.1642 19
"14406" 165 "2012-08-28" "2012" 8 2 10 0 1 1 0.74 0.6818 0.62 0.2537 39
"3679" 3 "2011-06-07" "2011" 6 2 4 0 1 1 0.58 0.5455 0.83 0.1343 2
"15542" 319 "2012-10-14" "2012" 10 0 18 0 0 1 0.58 0.5455 0.6 0.2537 134
"8193" 16 "2011-12-13" "2011" 12 2 0 0 1 1 0.22 0.2727 0.8 0 1
"2681" 115 "2011-04-26" "2011" 4 2 14 0 1 1 0.72 0.6667 0.58 0.3284 40
"11566" 9 "2012-05-02" "2012" 5 3 2 0 1 1 0.56 0.5303 0.83 0 7
"4021" 120 "2011-06-21" "2011" 6 2 10 0 1 2 0.64 0.5758 0.83 0.194 41
"11840" 342 "2012-05-13" "2012" 5 0 12 0 0 1 0.64 0.6212 0.57 0.2239 189
"12205" 247 "2012-05-28" "2012" 5 1 17 1 0 1 0.82 0.7879 0.56 0.2985 158
"15159" 470 "2012-09-28" "2012" 9 5 19 0 1 3 0.62 0.6212 0.5 0.2537 38
"12956" 90 "2012-06-29" "2012" 6 5 0 0 1 1 0.74 0.6667 0.48 0.1343 24
"5601" 100 "2011-08-26" "2011" 8 5 6 0 1 1 0.62 0.5606 0.88 0 5
"13252" 644 "2012-07-11" "2012" 7 3 8 0 1 2 0.68 0.6364 0.79 0.1642 30
"15173" 263 "2012-09-29" "2012" 9 6 9 0 0 1 0.5 0.4848 0.63 0.194 69
"4752" 187 "2011-07-21" "2011" 7 4 21 0 1 1 0.82 0.8939 0.75 0.2239 38
"1687" 53 "2011-03-15" "2011" 3 2 21 0 1 3 0.32 0.3333 0.81 0.1045 2
"5799" 38 "2011-09-04" "2011" 9 0 1 0 0 1 0.66 0.6061 0.83 0.1343 37
"14735" 7 "2012-09-11" "2012" 9 2 3 0 1 1 0.48 0.4697 0.67 0.1343 1
"12762" 226 "2012-06-20" "2012" 6 3 22 0 1 1 0.82 0.7576 0.46 0.1045 31
"6108" 52 "2011-09-17" "2011" 9 6 1 0 0 1 0.46 0.4545 0.72 0.1045 28
"4367" 225 "2011-07-05" "2011" 7 2 20 0 1 1 0.76 0.7273 0.66 0.1045 59
"13050" 169 "2012-07-02" "2012" 7 1 22 0 1 1 0.74 0.6667 0.51 0.1642 19
"12211" 60 "2012-05-28" "2012" 5 1 23 1 0 1 0.72 0.697 0.74 0.1642 22
"12958" 15 "2012-06-29" "2012" 6 5 2 0 1 1 0.72 0.6667 0.58 0.194 3
"5370" 123 "2011-08-16" "2011" 8 2 15 0 1 1 0.8 0.7121 0.41 0.2985 36
"2807" 86 "2011-05-01" "2011" 5 0 20 0 0 2 0.46 0.4545 0.82 0 35
"1555" 2 "2011-03-10" "2011" 3 4 5 0 1 3 0.36 0.3485 0 0.194 1
"15930" 133 "2012-11-01" "2012" 11 4 10 0 1 3 0.36 0.3485 0.62 0.194 13
"1379" 238 "2011-03-02" "2011" 3 3 17 0 1 1 0.5 0.4848 0.23 0.2836 30
"4672" 125 "2011-07-18" "2011" 7 1 13 0 1 1 0.82 0.7879 0.56 0.2537 27
"2156" 130 "2011-04-04" "2011" 4 1 16 0 1 1 0.76 0.6515 0.22 0.5224 59
"518" 56 "2011-01-23" "2011" 1 0 16 0 0 1 0.16 0.1364 0.26 0.3284 9
"11285" 329 "2012-04-20" "2012" 4 5 9 0 1 1 0.46 0.4545 0.88 0.0896 30
"8876" 225 "2012-01-10" "2012" 1 2 16 0 1 1 0.42 0.4242 0.38 0.3582 15
"14298" 177 "2012-08-23" "2012" 8 4 22 0 1 2 0.68 0.6364 0.61 0.1045 21
"5221" 72 "2011-08-10" "2011" 8 3 10 0 1 1 0.8 0.7273 0.43 0.2239 41
"7231" 155 "2011-11-02" "2011" 11 3 21 0 1 1 0.38 0.3939 0.71 0.1343 13
"14060" 48 "2012-08-14" "2012" 8 2 0 0 1 1 0.7 0.6667 0.74 0.2239 12
"2728" 103 "2011-04-28" "2011" 4 4 13 0 1 2 0.62 0.5758 0.83 0.2985 18
"15409" 19 "2012-10-09" "2012" 10 2 5 0 1 2 0.38 0.3939 0.82 0.194 0
"6280" 3 "2011-09-24" "2011" 9 6 5 0 0 2 0.56 0.5303 0.94 0.1045 2
"12358" 10 "2012-06-04" "2012" 6 1 2 0 1 1 0.56 0.5303 0.6 0.2239 1
"5758" 434 "2011-09-02" "2011" 9 5 8 0 1 1 0.62 0.5909 0.78 0.194 22
"6373" 9 "2011-09-28" "2011" 9 3 2 0 1 1 0.6 0.5455 0.88 0.2537 0
"11617" 24 "2012-05-04" "2012" 5 5 5 0 1 1 0.56 0.5303 0.88 0.194 0
"6393" 68 "2011-09-28" "2011" 9 3 22 0 1 1 0.6 0.5455 0.88 0.0896 19
"2793" 9 "2011-05-01" "2011" 5 0 6 0 0 2 0.4 0.4091 0.82 0.0896 4
"7156" 162 "2011-10-30" "2011" 10 0 18 0 0 1 0.36 0.3485 0.4 0.1343 51
"5980" 303 "2011-09-11" "2011" 9 0 16 0 0 1 0.72 0.6667 0.51 0.2985 180
"2114" 41 "2011-04-02" "2011" 4 6 22 0 0 1 0.32 0.303 0.61 0.2985 14
"16520" 9 "2012-11-26" "2012" 11 1 1 0 1 1 0.2 0.2576 0.69 0 1
"12508" 122 "2012-06-10" "2012" 6 0 8 0 0 1 0.64 0.6061 0.73 0.0896 59
"5065" 66 "2011-08-03" "2011" 8 3 22 0 1 3 0.68 0.6364 0.89 0.1045 11
"7496" 64 "2011-11-13" "2011" 11 0 22 0 0 1 0.48 0.4697 0.41 0.3881 25
"14649" 283 "2012-09-07" "2012" 9 5 13 0 1 1 0.8 0.7727 0.59 0.2537 71
"1338" 7 "2011-03-01" "2011" 3 2 0 0 1 1 0.3 0.2727 0.7 0.4627 0
"7369" 155 "2011-11-08" "2011" 11 2 15 0 1 1 0.58 0.5455 0.46 0.1045 33
"7368" 129 "2011-11-08" "2011" 11 2 14 0 1 1 0.56 0.5303 0.46 0.1045 32
"9506" 38 "2012-02-05" "2012" 2 0 23 0 0 1 0.24 0.2424 0.7 0.1343 4
"823" 97 "2011-02-06" "2011" 2 0 17 0 0 1 0.34 0.3636 0.46 0 24
"13934" 745 "2012-08-08" "2012" 8 3 18 0 1 2 0.78 0.7273 0.55 0.1642 117
"14019" 30 "2012-08-12" "2012" 8 0 7 0 0 1 0.64 0.6061 0.65 0.1343 9
"3230" 111 "2011-05-19" "2011" 5 4 11 0 1 3 0.54 0.5152 0.88 0.1642 53
"2447" 49 "2011-04-16" "2011" 4 6 20 0 0 3 0.44 0.4394 0.94 0.2239 4
"16961" 180 "2012-12-14" "2012" 12 5 11 0 1 1 0.32 0.303 0.65 0.194 31
"14524" 99 "2012-09-02" "2012" 9 0 8 0 0 1 0.68 0.6364 0.89 0.0896 30
"105" 65 "2011-01-05" "2011" 1 3 13 0 1 1 0.28 0.2576 0.3 0.2985 6
"6760" 17 "2011-10-14" "2011" 10 5 5 0 1 2 0.56 0.5303 0.94 0.1642 0
"7765" 2 "2011-11-25" "2011" 11 5 3 0 1 1 0.28 0.2879 0.75 0.1045 0
"17286" 5 "2012-12-28" "2012" 12 5 2 0 1 1 0.24 0.2273 0.6 0.2537 0
"1927" 24 "2011-03-26" "2011" 3 6 1 0 0 1 0.26 0.2273 0.38 0.2985 3
"367" 56 "2011-01-16" "2011" 1 0 18 0 0 1 0.2 0.2121 0.4 0.1642 11
